time_s,thrust_n,propellant_mass_kg,propellant_cg_station_m,inertia_xx_kg_m2,inertia_yy_kg_m2,inertia_zz_kg_m2
0.000,0.000,0.069000000,0.077000000,0.0000088320,0.0000619160,0.0000619160
0.006,104.068,0.068849064,0.077000000,0.0000088127,0.0000617806,0.0000617806
0.018,137.928,0.068147104,0.077000000,0.0000087228,0.0000611507,0.0000611507
0.036,70.707,0.067239319,0.077000000,0.0000086066,0.0000603361,0.0000603361
0.047,62.242,0.066885809,0.077000000,0.0000085614,0.0000600189,0.0000600189
0.084,73.694,0.065670017,0.077000000,0.0000084058,0.0000589279,0.0000589279
0.135,78.176,0.063797760,0.077000000,0.0000081661,0.0000572479,0.0000572479
0.238,84.151,0.059756179,0.077000000,0.0000076488,0.0000536212,0.0000536212
0.438,89.628,0.051354800,0.077000000,0.0000065734,0.0000460824,0.0000460824
0.630,88.135,0.043104573,0.077000000,0.0000055174,0.0000386792,0.0000386792
0.859,87.139,0.033402237,0.077000000,0.0000042755,0.0000299729,0.0000299729
1.283,77.180,0.016560886,0.077000000,0.0000021198,0.0000148606,0.0000148606
1.447,70.707,0.010698193,0.077000000,0.0000013694,0.0000095998,0.0000095998
1.643,67.719,0.004139806,0.077000000,0.0000005299,0.0000037148,0.0000037148
1.713,64.234,0.001907054,0.077000000,0.0000002441,0.0000017113,0.0000017113
1.743,54.275,0.001047653,0.077000000,0.0000001341,0.0000009401,0.0000009401
1.790,18.424,0.000221711,0.077000000,0.0000000284,0.0000001989,0.0000001989
1.818,6.473,0.000053200,0.077000000,0.0000000068,0.0000000477,0.0000000477
1.852,0.000,0.000000000,0.077000000,0.0000000000,0.0000000000,0.0000000000
